name,type,start_time,duration,"value","protocol","severity","rule","summary","field","message"
"Regress HLA","optical_field",0.10547973,0.00002148,"10.00 mA (x1 assumed)","CMIS",,,,"LaserBiasLowAlarmThreshold",
"Regress HLA","optical_field",0.10552525,0.00002148,"95.00 mA (x1 assumed)","CMIS",,,,"LaserBiasHighWarningThreshold",
"Regress HLA","optical_field",0.10557077,0.00002148,"15.00 mA (x1 assumed)","CMIS",,,,"LaserBiasLowWarningThreshold",
"Regress HLA","optical_field",0.10561628,0.00002148,"6.30 dBm (4265.8 uW)","CMIS",,,,"OpticalPowerRxHighAlarmThreshold",
"Regress HLA","optical_field",0.1056618,0.00002148,"-11.20 dBm (75.9 uW)","CMIS",,,,"OpticalPowerRxLowAlarmThreshold",
"Regress HLA","optical_field",0.10570733,0.00002147,"5.80 dBm (3801.9 uW)","CMIS",,,,"OpticalPowerRxHighWarningThreshold",
"Regress HLA","optical_field",0.10575312,0.00002135,"-10.20 dBm (95.5 uW)","CMIS",,,,"OpticalPowerRxLowWarningThreshold",
"Regress HLA","optical_compliance",0.10577714,0.00000001,,"CMIS","warning","THRESHOLD_UNINITIALIZED",,,"[THRESHOLD_UNINITIALIZED] TempMonLowWarningThreshold is 0 - threshold not programmed"
"Regress HLA","optical_event",0.10908661,0.0000213,,"CMIS",,,"Set Reg Address -> 0x7F (127)",,
"Regress HLA","optical_event",0.10910919,0.00002113,,"CMIS",,,"Page Select -> Page 0x10",,
"Regress HLA","optical_event",0.12008638,0.00002115,,"CMIS",,,"Set Reg Address -> 0x80 (128)",,
"Regress HLA","optical_field",0.12013564,0.00002193,"0x00 (initialize all lanes)","CMIS",,,,"DP Deinit Lanes",
"Regress HLA","optical_event",0.12015885,0.00002148,,"CMIS",,,"Read Reg[0x81] = 0x00",,
"Regress HLA","optical_event",0.12018161,0.00002148,,"CMIS",,,"Read Reg[0x82] = 0x00",,
"Regress HLA","optical_event",0.12020437,0.00002148,,"CMIS",,,"Read Reg[0x83] = 0x00",,
"Regress HLA","optical_event",0.12022713,0.00002148,,"CMIS",,,"Read Reg[0x84] = 0x00",,
"Regress HLA","optical_event",0.12024989,0.00002148,,"CMIS",,,"Read Reg[0x85] = 0x00",,
"Regress HLA","optical_event",0.12027265,0.00002148,,"CMIS",,,"Read Reg[0x86] = 0x00",,
"Regress HLA","optical_event",0.12029541,0.00002147,,"CMIS",,,"Read Reg[0x87] = 0x00",,
"Regress HLA","optical_event",0.12031817,0.00002148,,"CMIS",,,"Read Reg[0x88] = 0x00",,
"Regress HLA","optical_event",0.12034093,0.00002148,,"CMIS",,,"Read Reg[0x89] = 0x00",,
